ticker	name	sector
TATACOMM.NS	Tata Communications Ltd.	Telecommunication
TCS.NS	Tata Consultancy Services Ltd.	Information Technology
TATACONSUM.NS	Tata Consumer Products Ltd.	Fast Moving Consumer Goods
TATAELXSI.NS	Tata Elxsi Ltd.	Information Technology
TATAINVEST.NS	Tata Investment Corporation Ltd.	Financial Services
TATAMOTORS.NS	Tata Motors Ltd.	Automobile and Auto Components
TATAPOWER.NS	Tata Power Co. Ltd.	Power
TATASTEEL.NS	Tata Steel Ltd.	Metals & Mining
TATATECH.NS	Tata Technologies Ltd.	Information Technology
TTML.NS	Tata Teleservices (Maharashtra) Ltd.	Telecommunication
TECHM.NS	Tech Mahindra Ltd.	Information Technology
TECHNOE.NS	Techno Electric & Engineering Company Ltd.	Construction
TEJASNET.NS	Tejas Networks Ltd.	Telecommunication
NIACL.NS	The New India Assurance Company Ltd.	Financial Services
RAMCOCEM.NS	The Ramco Cements Ltd.	Construction Materials
THERMAX.NS	Thermax Ltd.	Capital Goods
TIMKEN.NS	Timken India Ltd.	Capital Goods
TITAGARH.NS	Titagarh Rail Systems Ltd.	Capital Goods
TITAN.NS	Titan Company Ltd.	Consumer Durables
TORNTPHARM.NS	Torrent Pharmaceuticals Ltd.	Healthcare
TORNTPOWER.NS	Torrent Power Ltd.	Power
TARIL.NS	Transformers And Rectifiers (India) Ltd.	Capital Goods
TRENT.NS	Trent Ltd.	Consumer Services
TRIDENT.NS	Trident Ltd.	Textiles
TRIVENI.NS	Triveni Engineering & Industries Ltd.	Fast Moving Consumer Goods
TRITURBINE.NS	Triveni Turbine Ltd.	Capital Goods
TIINDIA.NS	Tube Investments of India Ltd.	Automobile and Auto Components
UCOBANK.NS	UCO Bank	Financial Services
UNOMINDA.NS	UNO Minda Ltd.	Automobile and Auto Components
UPL.NS	UPL Ltd.	Chemicals
UTIAMC.NS	UTI Asset Management Company Ltd.	Financial Services
ULTRACEMCO.NS	UltraTech Cement Ltd.	Construction Materials
UNIONBANK.NS	Union Bank of India	Financial Services
UBL.NS	United Breweries Ltd.	Fast Moving Consumer Goods
UNITDSPR.NS	United Spirits Ltd.	Fast Moving Consumer Goods
USHAMART.NS	Usha Martin Ltd.	Capital Goods
VGUARD.NS	V-Guard Industries Ltd.	Consumer Durables
DBREALTY.NS	Valor Estate Ltd.	Consumer Services
VTL.NS	Vardhman Textiles Ltd.	Textiles
VBL.NS	Varun Beverages Ltd.	Fast Moving Consumer Goods
MANYAVAR.NS	Vedant Fashions Ltd.	Consumer Services
VEDL.NS	Vedanta Ltd.	Metals & Mining
VIJAYA.NS	Vijaya Diagnostic Centre Ltd.	Healthcare
VMM.NS	Vishal Mega Mart Ltd.	Consumer Services
IDEA.NS	Vodafone Idea Ltd.	Telecommunication
VOLTAS.NS	Voltas Ltd.	Consumer Durables
WAAREEENER.NS	Waaree Energies Ltd.	Capital Goods
WELCORP.NS	Welspun Corp Ltd.	Capital Goods
WELSPUNLIV.NS	Welspun Living Ltd.	Textiles
WESTLIFE.NS	Westlife Foodworld Ltd.	Consumer Services
WHIRLPOOL.NS	Whirlpool of India Ltd.	Consumer Durables
WIPRO.NS	Wipro Ltd.	Information Technology
WOCKPHARMA.NS	Wockhardt Ltd.	Healthcare
YESBANK.NS	Yes Bank Ltd.	Financial Services
ZFCVINDIA.NS	ZF Commercial Vehicle Control Systems India Ltd.	Automobile and Auto Components
ZEEL.NS	Zee Entertainment Enterprises Ltd.	Media Entertainment & Publication
ZENTEC.NS	Zen Technologies Ltd.	Capital Goods
ZENSARTECH.NS	Zensar Technolgies Ltd.	Information Technology
ZYDUSLIFE.NS	Zydus Lifesciences Ltd.	Healthcare
ECLERX.NS	eClerx Services Ltd.	Services
